0 02/14/2024 20:48:47 PM	 she want the dick……
0 02/14/2024 20:48:52 PM	 EXCLAMATION MARK AND ALL
1 02/14/2024 20:48:55 PM	 LMAOO😭😭
0 02/14/2024 20:48:55 PM	 GO GET HER
0 02/14/2024 20:49:02 PM	 mateo ouuuuuuuuuuu
0 02/14/2024 20:49:03 PM	 OU
0 02/14/2024 20:49:06 PM	 YOU FUCKING
0 02/14/2024 20:49:27 PM	 U GIT ME FUCKED UP NOW IM NOTGONA WAKE UP ON TIME LOOK WHAT YOU DID 
1 02/14/2024 20:49:36 PM	 i accidentally bought a ********** on temu 
0 02/14/2024 20:49:39 PM	 next 
0 02/14/2024 20:49:40 PM	 ?
1 02/14/2024 20:49:42 PM	 ?
0 02/14/2024 20:49:43 PM	 a waht…..
1 02/14/2024 20:49:44 PM	 anyway 
0 02/14/2024 20:49:55 PM	 BITCH HOW THR FUCK DID U ACCIDENTALLY 
0 02/14/2024 20:49:56 PM	 LMFAOOOOOOOO
0 02/14/2024 20:50:02 PM	 NO UR ASS DID NOT 
0 02/14/2024 20:50:07 PM	 THAT SHIT WAS AWN PURPOSE
1 02/14/2024 20:50:18 PM	 i was not myself..
1 02/14/2024 20:50:25 PM	 see this is what happens when we don’t talk 
0 02/14/2024 20:50:34 PM	 he having withdrawals…
1 02/14/2024 20:55:47 PM	 i know we gonna end up together and live happy forever after
1 02/14/2024 20:55:52 PM	 anyway
0 02/14/2024 20:59:20 PM	 Why do people with down syndrome and stuff like that? Have kids when they know it’s not normal like why are you reproducing?
0 02/14/2024 20:59:46 PM	 Not just down syndrome, but like any form of retardation, I don’t really know the word for it, but you know what I mean
0 02/14/2024 21:00:38 PM	 Like why do you want to bring something like that onto the Earth? I see people on Instagram posting they like disabled babies when they know good and well they’re gonna get bullied in the comments that’s so sad why would you do that to your own kid
0 02/14/2024 21:02:02 PM	 I feel really bad for people with disabilities because imagine how they feel like you bullied every single day. I can’t imagine someone like that being seen as normal in society.
0 02/14/2024 21:02:37 PM	 I’m not saying that I don’t find them normal, but I feel bad because they’re always gonna be seen as like weird
0 02/14/2024 21:02:47 PM	 Like imagine, one of us had down syndrome
1 02/14/2024 21:02:54 PM	 i don’t have to
0 02/14/2024 21:02:58 PM	 Ab other day I was watching the show with my brother
0 02/14/2024 21:03:03 PM	 WTFFFFFFFFFFF
0 02/14/2024 21:03:06 PM	 WHY DID HE 
1 02/14/2024 21:03:09 PM	 u agree with dis right 😂
0 02/14/2024 21:03:09 PM	 WHY HE GOT ME THERE
0 02/14/2024 21:03:20 PM	 no comment…
1 02/14/2024 21:03:30 PM	 they selfish 
0 02/14/2024 21:03:55 PM	 I was watching the show with my brother right and it was the dating show for disabled people, and I thought it was so interesting to see because they was so awkward I can’t imagine having to live like that
1 02/14/2024 21:04:14 PM	 why she in denial 😭😭
0 02/14/2024 21:04:24 PM	 Bro stop im crying don’t say that
1 02/14/2024 21:04:28 PM	 at least they can function without being taken to the institution..
0 02/14/2024 21:04:32 PM	 LMFAOOOOOOOO
0 02/14/2024 21:04:34 PM	 ok
0 02/14/2024 21:04:35 PM	 bitch
0 02/14/2024 21:04:38 PM	 was it that funny…
0 02/14/2024 21:04:42 PM	 WAS IT
0 02/14/2024 21:04:54 PM	 I BEEN FREE BITCH WHAT IS U GALKING ABOUT
0 02/14/2024 21:05:04 PM	 bum bich trying to tell me
1 02/14/2024 21:05:51 PM	 we both know it’s just a matter of time till u get locked up again 
1 02/14/2024 21:05:53 PM	 😭
0 02/14/2024 21:06:08 PM	 Sometimes I see my little cousins and I genuinely from the bottom of my heart get worried because they have autistic mannerisms and I’m not trying to be funny but it’s like
0 02/14/2024 21:06:25 PM	 Like I’m I’m so sorry, I’m actually worried for them because imagine they grow up to be one of those people
1 02/14/2024 21:06:26 PM	 why does everyone in ur family have some kind of illness
0 02/14/2024 21:06:35 PM	 DONT EVEN SAY THAT
0 02/14/2024 21:06:43 PM	 sigh..
0 02/14/2024 21:07:37 PM	 Bro, those fucking kids they’re like animals I genuinely am worried because what if they don’t like get out of this phase and they just stay autistic forever I’m actually praying that they get better because I’m gonna feel bad when they get bullied in school
1 02/14/2024 21:07:59 PM	 u know it’s true 😭😭😭
0 02/14/2024 21:08:28 PM	 Like I remember, I used to go to school with this girl and she was like born at six months so she had a bunch of problems and for some reason she would always want to be my friend. I don’t know why but I feel really bad for her because they would always bully her and literally the teacher would use her as a punishment, if someone was acting up the teacher would be like okay, go sit next to the girl and I would feel so bad because imagine how she feels when they say that
0 02/14/2024 21:08:52 PM	 That’s so sad bless her
1 02/14/2024 21:08:56 PM	 LMAOO WTF 😭
1 02/14/2024 21:09:14 PM	 how do you remember stuff from when u were 6 but you don’t remember what u ate yesterday
1 02/14/2024 21:09:23 PM	 i think it’s ur short term memory that’s fucked..
1 02/14/2024 21:09:27 PM	 dori looking ahh 
1 02/14/2024 21:09:31 PM	 🐟 
0 02/14/2024 21:09:55 PM	 And then people would go to this girls like families Facebook and they find photos of her with her family that’s so sad
0 02/14/2024 21:10:17 PM	 What is the cause of this
1 02/14/2024 21:10:32 PM	 probably all ur meds 
1 02/14/2024 21:10:50 PM	 ??? it’s not up to you anyway 😂😂
0 02/14/2024 21:10:59 PM	 😂😂
0 02/14/2024 21:11:12 PM	 That’s funny
1 02/14/2024 21:11:21 PM	 nothings funny bitch 😂😂
0 02/14/2024 21:11:29 PM	 \nI haven’t had my period since December my baby on the way 
1 02/14/2024 21:11:33 PM	 i will literally hunt u down 
1 02/14/2024 21:11:44 PM	 no way 💀💀
0 02/14/2024 21:11:59 PM	 Im scared 
0 02/14/2024 21:12:08 PM	 That baby coming out with schizophrenia 
1 02/14/2024 21:12:09 PM	 that’s like 45 days ago
1 02/14/2024 21:22:23 PM	 bitch it’s barely 9pm
1 02/14/2024 21:23:43 PM	 Adriiiiii
1 02/14/2024 21:23:46 PM	 Adri 
1 02/14/2024 21:23:50 PM	 irda 
0 02/14/2024 21:24:07 PM	 Mateo im not staying up tomorrow
1 02/14/2024 21:24:15 PM	 ok sure
0 02/14/2024 21:24:21 PM	 Im so tired 
0 02/14/2024 21:24:25 PM	 Should I go on a walk
1 02/14/2024 21:24:29 PM	 how it’s only 9 pm
1 02/14/2024 21:24:36 PM	 ok be safe 
0 02/14/2024 21:12:20 PM	 Yes I know…
0 02/14/2024 21:12:23 PM	 What do I do..
1 02/14/2024 21:12:30 PM	 talk to your gynecologist 
0 02/14/2024 21:12:42 PM	 BITCH I DONT GOT ONE ?
0 02/14/2024 21:12:51 PM	 What the fuck I need that for there’s nothing fwrong with my cooter
0 02/14/2024 21:13:03 PM	 That’s for them std having bitches
1 02/14/2024 21:13:06 PM	 ur supposed to have one anyways 
1 02/14/2024 21:13:13 PM	 THERE CLEARLY IS 
1 02/14/2024 21:13:25 PM	 don’t say cooter that sounds weird
1 02/14/2024 21:14:13 PM	 if the dick is big enough do u think it can break into the uterus 
1 02/14/2024 21:14:35 PM	 if i fuck a little asian woman that’d probably happen 
0 02/14/2024 21:14:51 PM	 What is it with men and asian woman ill never know
0 02/14/2024 21:15:02 PM	 No
0 02/14/2024 21:15:09 PM	 I think she would die
1 02/14/2024 21:15:20 PM	 🥰😍
1 02/14/2024 21:15:33 PM	 rip for you when we meet…
0 02/14/2024 21:15:48 PM	 ..
0 02/14/2024 21:15:51 PM	 Lmfao✌️
0 02/14/2024 21:15:53 PM	 Nvm 
0 02/14/2024 21:15:58 PM	 U can rupture ur uterus
0 02/14/2024 21:16:08 PM	 But u can do treatment
0 02/14/2024 21:16:15 PM	 That is scary
1 02/14/2024 21:17:01 PM	 probably not
0 02/14/2024 21:17:03 PM	 IM CRYINF WHY IS HE SAT THERE ONCE AGAIN
0 02/14/2024 21:17:09 PM	 I DONT EBE WANNA SEE IT
0 02/14/2024 21:17:13 PM	 HES SO SCAEY😭😭😭😭😭😭
1 02/14/2024 21:17:32 PM	 eating disorder might be it…
1 02/14/2024 21:17:42 PM	 feeling stressed out too maybe
0 02/14/2024 21:20:15 PM	 ???
0 02/14/2024 21:20:22 PM	 I am not
1 02/14/2024 21:20:24 PM	 literally what’s confusing 
1 02/14/2024 21:20:34 PM	 Adriii
0 02/14/2024 21:20:38 PM	 What
1 02/14/2024 21:20:42 PM	 i claim u
0 02/14/2024 21:21:01 PM	 Am I a fucking pokemon for you to claim me
0 02/14/2024 21:21:07 PM	 WHAT DO I LOOK LIKE ???
0 02/14/2024 21:21:21 PM	 Im so tired Mateo I regret this so bad 
1 02/14/2024 21:30:02 PM	 ??
0 02/14/2024 21:30:21 PM	 Yes
1 02/14/2024 21:30:34 PM	 why is you leaving me on seen
0 02/14/2024 21:30:47 PM	 What are you gonna do about it 
0 02/14/2024 21:32:17 PM	 ?
1 02/14/2024 21:33:35 PM	 can u send me random numbers from ur contacts 
0 02/14/2024 21:33:44 PM	 ???????
0 02/14/2024 21:33:51 PM	 Are you dumb
0 02/14/2024 21:36:29 PM	 Mateo
0 02/14/2024 21:37:07 PM	 Mateo stop fucking playing
1 02/14/2024 21:37:24 PM	 hi 
1 02/14/2024 21:37:32 PM	 sorry i was making myself a smoothie 
1 02/14/2024 21:37:38 PM	 i’m gonna go to sleep soon see ya 
0 02/14/2024 21:37:58 PM	 No ur not
1 02/14/2024 21:38:20 PM	 i have to get up for the gym at 6:45 tomorrow 😭
1 02/14/2024 21:38:32 PM	 can i go pls
0 02/14/2024 21:39:04 PM	 Ok then
1 02/14/2024 21:40:28 PM	 https://www.instagram.com/reel/C2Y7DWvut_a/?igsh=dWh0bWEyc3htNmg3
1 02/14/2024 21:40:34 PM	 why dis remind me of u 
1 02/14/2024 21:40:47 PM	 ???? aren’t u gonna say goodnight 😂
0 02/14/2024 21:41:56 PM	 No
0 02/14/2024 21:41:59 PM	 ❤️
1 02/14/2024 21:42:05 PM	 whyyyyy ggggg
1 02/14/2024 21:42:19 PM	 stop playing hard to get Adriiii
0 02/14/2024 21:43:19 PM	 I am hard to get
0 02/14/2024 21:43:23 PM	 Goodnight I love you 
0 02/14/2024 21:44:44 PM	 ?
0 02/14/2024 21:44:50 PM	 Are you gonna say it back
1 02/14/2024 21:45:50 PM	 mb i was getting undressed 
1 02/14/2024 21:45:56 PM	 goodnight adri love u
1 02/14/2024 21:46:11 PM	 i wanna cuddle 😭
1 02/14/2024 21:48:49 PM	 ???
1 02/14/2024 21:48:56 PM	 i didn’t send that 
0 02/14/2024 21:50:34 PM	 Go to sleep
1 02/14/2024 21:51:35 PM	 i know u want me 
1 02/14/2024 21:51:41 PM	 ur always gonna be with me bitch 
1 02/14/2024 21:51:58 PM	 😘
0 02/14/2024 21:53:38 PM	 😭😂
0 02/14/2024 21:53:46 PM	 No YOURE always gonna be with me
0 02/14/2024 21:53:52 PM	 Not the other way around 
0 02/14/2024 21:54:03 PM	 I hope yk that
1 02/14/2024 21:54:23 PM	 ?? yes the other way around bitch 😂
1 02/14/2024 21:54:36 PM	 u can’t leave me even if you tried 
1 02/14/2024 21:55:02 PM	 i wanna make u happy
0 02/14/2024 21:56:20 PM	 Is that a challenge 
0 02/14/2024 21:56:24 PM	 Cause 😭😭😭😂
0 02/14/2024 21:56:30 PM	 I am happy
1 02/15/2024 06:46:01 AM	 good morning baby
0 02/15/2024 07:08:18 AM	 Hi mateo good morning
0 02/15/2024 07:08:23 AM	 I’m so tired 
0 02/15/2024 07:08:34 AM	 I need to go back to sleep
0 02/15/2024 07:08:54 AM	 I have no reason to be up this early on a damn thursday
1 02/15/2024 07:10:08 AM	 get a damn job…
1 02/15/2024 07:10:14 AM	 grown ass woman 
1 02/15/2024 07:10:21 AM	 ok text me when ur up 
0 02/15/2024 07:10:55 AM	 OH THATS VERY BOLD OF YOU TO SAY
0 02/15/2024 07:11:27 AM	 ATLEAST I GOT MOTION BITCH YOU BROKE AND UNEMPLOYED HOW ABOUT THAT…
1 02/15/2024 07:11:50 AM	 i won’t be unemployed for much longer 😂😂
1 02/15/2024 07:11:55 AM	 YOU ON THE OTJER HAND..
0 02/15/2024 07:12:06 AM	 OKAY CAUAE I DONT NEED A DAMN JOB
0 02/15/2024 07:12:15 AM	 YOU ON THE OTHER HAND……
0 02/15/2024 07:12:24 AM	 YIU NEED THAT SHIT😭😭😭😭😭😭🙌🙌
1 02/15/2024 07:13:34 AM	 i hit my head with the empty bar 😢😢😭🤕
0 02/15/2024 07:15:27 AM	 ….
0 02/15/2024 07:15:36 AM	 Do people be fucking in library’s
0 02/15/2024 07:15:45 AM	 I feel like I could do that 
0 02/15/2024 07:16:01 AM	 Wait why did I just say that
0 02/15/2024 07:16:09 AM	 i don’t think 
0 02/15/2024 07:16:17 AM	 ❤️
1 02/15/2024 07:18:00 AM	 and she be telling me to think before i speak..
0 02/15/2024 07:20:11 AM	 Ok go and text me when u can
0 02/15/2024 07:20:22 AM	 Bye😭😭😭😭😭😭🔪🔪🔪🔪
1 02/15/2024 07:20:24 AM	 ok bet see u ❤️
1 02/15/2024 09:29:49 AM	 https://www.instagram.com/p/C3XnUHjIypI/?igsh=MTh5eDN1MXpsbG9kcQ==
1 02/15/2024 09:29:49 AM	 us
0 02/15/2024 09:41:05 AM	 😂😂….
0 02/15/2024 12:12:35 PM	 Mateo can u come here
0 02/15/2024 12:12:42 PM	 Rriiighttt now
1 02/15/2024 12:12:54 PM	 Yeah
1 02/15/2024 12:13:01 PM	 Wsg bitch 
0 02/15/2024 12:13:03 PM	 LMFAO COME HERE
0 02/15/2024 12:13:04 PM	 LMFAOOOOOOO
0 02/15/2024 12:13:06 PM	 IM CRYING
1 02/15/2024 12:13:09 PM	 ??
1 02/15/2024 12:13:12 PM	 What happened
0 02/15/2024 12:13:19 PM	 LMFAOOOOOO
1 02/15/2024 12:13:21 PM	 ??\n
0 02/15/2024 12:13:21 PM	 I love dis app
0 02/15/2024 12:13:41 PM	 LMFAOOOOOOO
0 02/15/2024 12:13:43 PM	 I MADE SO MANU
1 02/15/2024 12:13:48 PM	 Sned
1 02/15/2024 12:13:49 PM	 Sned
1 02/15/2024 12:13:53 PM	 send****
1 02/15/2024 12:14:09 PM	 Unemployed activities 
0 02/15/2024 12:14:17 PM	 This shit took me so long im s crying
0 02/15/2024 12:14:19 PM	 It’s worth it
0 02/15/2024 12:14:29 PM	 Next time u send me a death threat im going to put a photo of myself on it
1 02/15/2024 12:14:43 PM	 😭 😭 😭
0 02/15/2024 12:14:53 PM	 MMFROOOOOOOO
1 02/15/2024 12:15:18 PM	 Yeah that happens sometimes
1 02/15/2024 12:15:42 PM	 U love that filter 
0 02/15/2024 12:15:44 PM	 Waita jmjnure
0 02/15/2024 12:15:47 PM	 Yes somuch 
0 02/15/2024 12:15:50 PM	 I’m es so cute
1 02/15/2024 12:15:53 PM	 ???
0 02/15/2024 12:16:02 PM	 Hold on im a law one of wilson
1 02/15/2024 12:16:24 PM	 Make one of Iggy 
0 02/15/2024 12:16:31 PM	 O fuk no
1 02/15/2024 12:16:44 PM	 🖕🏿
0 02/15/2024 12:17:54 PM	 LMFAOOOOOOO
0 02/15/2024 12:17:58 PM	 IM CRYINF WHY IS RHIS SO FUNNY
1 02/15/2024 12:18:10 PM	 I though it was a turd at first
1 02/15/2024 12:18:14 PM	 Why is it so black 
0 02/15/2024 12:18:27 PM	 Why are you so black you fucking n******
1 02/15/2024 12:18:37 PM	 Im not?? 😂
1 02/15/2024 12:18:42 PM	 Stop projecting 
0 02/15/2024 12:19:09 PM	 What is black about me
0 02/15/2024 12:19:14 PM	 Dumb ass bitch
0 02/15/2024 12:19:19 PM	 i hate whores…
1 02/15/2024 12:19:26 PM	 The fact that ur half black??
1 02/15/2024 12:19:46 PM	 If u have kids some of them are probably gonna come out black cus u got that black gene
0 02/15/2024 12:19:47 PM	 OLAY AND IM STILL FAIR SKINNED SO SUCK MY DICK 
0 02/15/2024 12:19:55 PM	 How black
0 02/15/2024 12:20:00 PM	 Probably not
1 02/15/2024 12:20:00 PM	 lightskin 
1 02/15/2024 12:20:05 PM	  Guess it depends on the father
0 02/15/2024 12:20:05 PM	 OH FUCK NO
1 02/15/2024 12:20:12 PM	 I feel like ur gonna be a single mom
0 02/15/2024 12:20:14 PM	 IM NOT RASIJ FNK LOGHTSKIN BABY HELL NAWLLLLLLLL😂😂😂😂😂😂😂😂😂😂😂
0 02/15/2024 12:20:17 PM	 ???….
1 02/15/2024 12:20:31 PM	 Yeah cus u only like toxic guys so he’s probably gonna leave u
0 02/15/2024 12:20:37 PM	 If my baby comes out. Lightskin im going to abort it
0 02/15/2024 12:20:45 PM	 U dont know what I like
1 02/15/2024 12:20:48 PM	 Yeah I do
0 02/15/2024 12:21:00 PM	 No dont even say that mateo if i have a lightskin baby im going to kill myself
0 02/15/2024 12:21:03 PM	 I WOIKD RATHER DIE
0 02/15/2024 12:21:10 PM	 THAN CLAIM A LOGHTSKIN AS MINE
1 02/15/2024 12:21:11 PM	 What if It comes out pitch black 
0 02/15/2024 12:21:28 PM	 I would rather have a baby that looks like he came out from the slums of Africa 
0 02/15/2024 12:21:32 PM	 Than a loghtskin dominican baby
0 02/15/2024 12:21:34 PM	 And it’s not even close
1 02/15/2024 12:21:47 PM	 What do you have against lights skinngs 😭
0 02/15/2024 12:21:54 PM	 Everything
0 02/15/2024 12:21:59 PM	 They are the devil in disguise
0 02/15/2024 12:22:07 PM	 WE ARE LIVING AMONGST DEMONS 
1 02/15/2024 12:22:10 PM	 Ur literally a lightsskin yourself tho…
1 02/15/2024 12:22:16 PM	 Half black and half brown 
0 02/15/2024 12:22:18 PM	 No the fuck I ain’t dont ever say that
0 02/15/2024 12:22:31 PM	 I hate light skin hitches and I hate lightskin niggas
0 02/15/2024 12:22:44 PM	 ITS ALWAYS GONNA BE THE LIGHTSKIN HOE OVER ME
1 02/15/2024 12:22:53 PM	 for a reason….
0 02/15/2024 12:22:54 PM	 I will eradicate their disease one day 
1 02/15/2024 12:22:56 PM	 LMAOO jk
1 02/15/2024 12:23:13 PM	 U should get ur hair permed 
0 02/15/2024 12:23:31 PM	 Why I dont wanna look like thise lightskin girls
0 02/15/2024 12:23:34 PM	 What the fuck u mean
1 02/15/2024 12:23:45 PM	 🤤
0 02/15/2024 12:23:54 PM	 Bro he’ll no I will never be like those loghtskin girls with russian lashes
0 02/15/2024 12:23:58 PM	 Never ever
0 02/15/2024 12:24:06 PM	 I WILL DIE BEFORE I BECOME THAT
1 02/15/2024 12:24:09 PM	 I love fake lashes 
1 02/15/2024 12:24:16 PM	 Don’t u think they look good
0 02/15/2024 12:24:21 PM	 Yes
0 02/15/2024 12:24:23 PM	 But
0 02/15/2024 12:24:29 PM	 TO A CERTAIN DUCKING EXTENT
0 02/15/2024 12:24:33 PM	 Some bitches just do too much
1 02/15/2024 12:24:35 PM	 And cakey make up
1 02/15/2024 12:24:49 PM	 where are u rn 
0 02/15/2024 12:25:35 PM	 Bro this is one species of loghtskin girl that I will be jealous of for the rest of my life 
0 02/15/2024 12:25:39 PM	 Hold on ima find it
1 02/15/2024 12:25:57 PM	 yeah thats too much 
1 02/15/2024 12:26:43 PM	 😍 😍 😍
0 02/15/2024 12:26:44 PM	 And they all have those lashes 
0 02/15/2024 12:26:59 PM	 Sigh
1 02/15/2024 12:27:04 PM	 I love girls with big ass foreheads 
0 02/15/2024 12:27:15 PM	 ???
1 02/15/2024 12:27:16 PM	 The bigger the forehead the grippier the *****
0 02/15/2024 12:27:30 PM	 Is that why u talked to alex even tho she was trans
1 02/15/2024 12:27:33 PM	 ?????
1 02/15/2024 12:27:46 PM	 She’s a girl 😭
0 02/15/2024 12:27:47 PM	 Her head had the form of a boiled egg
0 02/15/2024 12:27:53 PM	 Im sorry god bless her 
0 02/15/2024 12:27:58 PM	 No she’s not mateo
1 02/15/2024 12:28:01 PM	 My head looked like an egg when I was bald…
0 02/15/2024 12:28:04 PM	 I KNOW A TRANNY WHEN I SEE IT
1 02/15/2024 12:28:07 PM	 Ok whatever
0 02/15/2024 12:28:12 PM	 Atleast he knows
0 02/15/2024 12:28:18 PM	 Ok whatever
0 02/15/2024 12:28:50 PM	 Mateo shut the fuck yp why are u doing that emoji on me that’s so annoying
0 02/15/2024 12:28:58 PM	 Don’t do it again
1 02/15/2024 12:29:07 PM	 where are u rn 
0 02/15/2024 12:29:10 PM	 Ok u wanna fucking piss me off
0 02/15/2024 12:29:18 PM	 OKAY THEN LETS😂😂
1 02/15/2024 12:29:21 PM	 ???
0 02/15/2024 12:29:26 PM	 NO SHUT THR TUCK YP
0 02/15/2024 12:29:29 PM	 SINCE U WANNA BE DUNNY
0 02/15/2024 12:29:32 PM	 LEST BE FUCKING FUNNY
1 02/15/2024 12:29:45 PM	 Do u think that the guy has a say if his girl wants to get an abortion?
0 02/15/2024 12:29:57 PM	 Why did he just change the topic
0 02/15/2024 12:30:26 PM	 No because if he does not want the baby he can just leave
0 02/15/2024 12:30:32 PM	 Or idk I’ve never been in that situation 
1 02/15/2024 12:30:40 PM	 Yeah but then he gotta pay child support 
0 02/15/2024 12:30:55 PM	 Oh
1 02/15/2024 12:30:56 PM	 There’s always  first time!
0 02/15/2024 12:31:02 PM	 …
0 02/15/2024 12:31:05 PM	 Get away
0 02/15/2024 12:31:13 PM	 DONT EVEN PLAY RIGTHT NOW IM NOT IN THE MOOD
1 02/15/2024 12:31:25 PM	 Ur never in the mood for anything…
0 02/15/2024 12:31:28 PM	 Ok im never texting u first again this is what I get when I try to do good things fuck me
1 02/15/2024 12:31:51 PM	 What have I done that’s bad 😭
1 02/15/2024 12:31:59 PM	 Yo ass is getting pressed over a laughing emoji
0 02/15/2024 12:32:00 PM	 PROVOKE ME ON PURPOSE
1 02/15/2024 12:32:01 PM	 Get a grip 
0 02/15/2024 12:32:07 PM	 ME?
0 02/15/2024 12:32:13 PM	 ………..
1 02/15/2024 12:32:14 PM	 Cus ur so short tempered…
0 02/15/2024 12:32:15 PM	 Im not even gonna
0 02/15/2024 12:32:20 PM	 WTFV?2):&$/!;$:$2$$;
0 02/15/2024 12:32:22 PM	 BITCH GO 
1 02/15/2024 12:32:26 PM	 SEE 
0 02/15/2024 12:32:27 PM	 IM LITERALY
0 02/15/2024 12:32:29 PM	 DONE
0 02/15/2024 12:32:32 PM	 DONT TEXT THIS DAMN PHONE
1 02/15/2024 12:32:36 PM	 SMD 
0 02/15/2024 12:32:41 PM	 SHUT THR RUCK UP
0 02/15/2024 12:32:44 PM	 WE R NEVER TALKING AGAIJ
1 02/15/2024 12:32:49 PM	 Make me 😂
0 02/15/2024 12:32:58 PM	 Bitch im gonna fucking block you
0 02/15/2024 12:33:06 PM	 Why do you do this to me
0 02/15/2024 12:33:16 PM	 What have I ever done I am the sweetest girl in the world 
1 02/15/2024 12:33:20 PM	 It’s really not that deep….
0 02/15/2024 12:33:20 PM	 YOU RUIN ME
1 02/15/2024 12:33:28 PM	 LMAOOOOOOOOO 😭
0 02/15/2024 12:33:30 PM	 OK BITCH 😭😭😭😭😭😭😭😭😭😭🖕🖕🖕🖕🖕🖕🖕
1 02/15/2024 12:33:34 PM	 No way u said that with a straight face…
0 02/15/2024 12:33:39 PM	 ??
1 02/15/2024 12:33:49 PM	 /?? what’s confusing
0 02/15/2024 12:33:55 PM	 Ok go suck ur own dick dumb ass fucking bitch I hate niggas 
0 02/15/2024 12:34:04 PM	 I HATE NIGGAS SO BAD 😭😭😭😭😭😭😭😭😭😭😭😭✌️😭😭✌️✌️😭😭😭LLORDDDDDD
1 02/15/2024 12:34:05 PM	 Im not a nigga
0 02/15/2024 12:34:21 PM	 GET😭😭😭😭😭😭😭THE DUCK YP OUT MY FACE MAGEO
0 02/15/2024 12:34:27 PM	 IMA CRY😭😭😭😭😭😭
1 02/15/2024 12:34:33 PM	 Spell my name right bitch 
1 02/15/2024 12:36:24 PM	 why are u only wearing a bra in like half of these…
0 02/15/2024 12:36:55 PM	 I’m gping to sleep i need a damn break
0 02/15/2024 12:37:02 PM	 YOU STRESS NE OIT MATEO
1 02/15/2024 12:37:37 PM	 good❤️❤️❤️
0 02/15/2024 12:37:48 PM	 Is this what being married is like
1 02/15/2024 12:37:57 PM	 LMAOO😭
1 02/15/2024 12:38:02 PM	 maybe who knows..
0 02/15/2024 12:38:06 PM	 I DONT WANT IT😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😵😵😵😵😵🙅‍♂️🙅‍♂️🙅‍♂️🙅‍♂️🙅‍♂️🙅‍♂️🙅‍♂️🙅‍♂️🙅‍♂️🙅‍♂️🙅‍♂️
0 02/15/2024 12:38:14 PM	 What is wrong with my ass
0 02/15/2024 12:38:18 PM	 Hold on let me get it together
0 02/15/2024 12:38:24 PM	 is this normal behavior….
0 02/15/2024 12:38:28 PM	 am I the problem
1 02/15/2024 12:38:41 PM	 it don’t matter to me 🤷‍♂️🤷‍♂️
1 02/15/2024 12:38:49 PM	 you always are
0 02/15/2024 12:38:58 PM	 That’s not true
0 02/15/2024 12:39:10 PM	 are u gaslighting me…
1 02/15/2024 12:39:36 PM	 no but fr u are 
1 02/15/2024 12:39:44 PM	 like ur the only one here with an attitude 
1 02/15/2024 12:39:50 PM	 you literally piss me off on purpose 
0 02/15/2024 12:39:51 PM	 ???..
0 02/15/2024 12:39:59 PM	 AM I BEING MANIPULATED RIGHT NOW
0 02/15/2024 12:40:02 PM	 IS RHIS WHAT ITS LILE
0 02/15/2024 12:40:14 PM	 ?????
0 02/15/2024 12:40:17 PM	 What do I ever do to you
0 02/15/2024 12:40:19 PM	 I am so nice
0 02/15/2024 12:40:21 PM	 Im so loving
0 02/15/2024 12:40:26 PM	 Im so funny i make you laugh
1 02/15/2024 12:40:28 PM	 you talk about other niggas on purpose 
0 02/15/2024 12:40:37 PM	 WHEN?
1 02/15/2024 12:40:38 PM	 she my personal clown 😭😭😭
1 02/15/2024 12:40:45 PM	 all the time 
1 02/15/2024 12:40:50 PM	 at least like 2ice a week
0 02/15/2024 12:40:53 PM	 What the hell
0 02/15/2024 12:40:56 PM	 Are u for real
1 02/15/2024 12:41:08 PM	 yeah and you deny that we gonna get married 
1 02/15/2024 12:41:09 PM	 on nvm 
1 02/15/2024 12:41:44 PM	 loving 😬😬😬
1 02/15/2024 12:41:48 PM	 once in a blue moon….
0 02/15/2024 12:42:14 PM	 Ok im sorry
1 02/15/2024 12:42:25 PM	 it’s ok i’m used to your abuse..
0 02/15/2024 12:42:27 PM	 U talk about other girls tho
1 02/15/2024 12:42:39 PM	 no i don’t what 😭
1 02/15/2024 12:42:49 PM	 making shit up atp 🤦‍♂️🤦‍♂️🤦‍♂️🤦‍♂️
0 02/15/2024 12:42:59 PM	 Yes u do
0 02/15/2024 12:43:06 PM	 Am I being gaslight rn I literally can’t tell 
0 02/15/2024 12:43:23 PM	 Someone help 😭😭😭😭😭😭😭im being held hostage 
1 02/15/2024 12:43:44 PM	 ???? IM THE ONE WHOS BEING HELD HOSTAGE 
0 02/15/2024 12:43:55 PM	 MATEO STOP IMSORRH😭😭😭😭😭🖕🖕
0 02/15/2024 12:44:23 PM	 Ok let’s move past this. 
0 02/15/2024 12:44:39 PM	 I think we r being a little insensitive.
0 02/15/2024 12:45:24 PM	 Do u have to water flowers I dont really know
0 02/15/2024 12:45:43 PM	 Ok mateo can u apologize to me. 
0 02/15/2024 12:47:38 PM	 HELLO ?
0 02/15/2024 12:47:40 PM	 Ok u know what
1 02/15/2024 12:47:45 PM	 i’m walking bitch 
1 02/15/2024 12:47:53 PM	 i’m lost in this building i can’t find the restroom 
1 02/15/2024 12:48:09 PM	 no
1 02/15/2024 12:48:13 PM	 for what
1 02/15/2024 12:48:19 PM	 i didn’t do anything wrong 
0 02/15/2024 12:48:21 PM	 For making me upset 
1 02/15/2024 12:49:05 PM	 u got upset on your own 😭
0 02/15/2024 12:49:13 PM	 Why did I do that…
